sheet	row	values
combinação	30	||||||5|BLANK SEGMENTADO PARA ESTATOR|Matriz retalhadora - trincas, fixação, altura útil e afiação|25000|||||||
combinação	31	||||||5|ESTAMPO UNICO PARA ESTATOR|Matriz corte externo - trincas, fixação, altura útil e afiação|25000|||||||
combinação	32	||||||5|BLANK QUADRADO + FURO PARA ROTOR|Matriz chaveta e furos - trincas, fixação, altura útil e afiação|25000|||||||
combinação	33	||||||5|BLANK PARA ESTATOR E ROTOR INTEIRIÇO|Matriz chaveta e furos - trincas, fixação, altura útil e afiação|25000|||||||
combinação	34	||||||5|RANHURADOR WUhU|Colares de esferas - Verificar deformação esferas, sulcos e folgas|200000|||||||
combinação	35	||||||5|RANHURADOR PADRÃO CANECA|Colares de esferas (quando aplicável) - Verificar deformação esferas, sulcos e folgas|80000|||||||
combinação	36	||||||5|FURO DE VENTILAÇÃO|Matriz retalhadora - trincas, fixação, altura útil e afiação|25000|||||||
combinação	37	||||||6|BLANK SEGMENTADO PARA ESTATOR|Punção retalhador - trincas, fixação e altura útil e afiação|25000|||||||
combinação	38	||||||6|ESTAMPO UNICO PARA ESTATOR|Punção corte externo - trincas, fixação e altura útil e afiação|25000|||||||
combinação	39	||||||6|BLANK QUADRADO + FURO PARA ROTOR|Punção chaveta e furos - trincas, fixação e altura útil e afiação|25000|||||||
combinação	40	||||||6|BLANK PARA ESTATOR E ROTOR INTEIRIÇO|Punção chaveta e furos - trincas, fixação e altura útil e afiação|25000|||||||
Dados	3	|AME Resp. Pela abertura da ficha:||Index|AME
Descrição da Ferramenta:||Ferramenteiro
Responsável:||Produção
Operador Responsável:||Setor (Prensa):||Sufixo|Tipo da Ferramenta|||Emitido Ficha de Manutenção?
Dados	4	|Sabrina Freitas||0076|BLANK PARA ESTATOR E ROTOR INTEIRIÇO||Alexandre||Fabio Teixeira||PX013||0006|APARADOR Ø EXT. ESTATOR|||
Dados	5	|Bruno Almeida||0009|BLANK QUADRADO + FURO PARA ROTOR||Spontão||Zaqueu Aguiar Souza||PX021||0008||||
Dados	6	|Fulana da Silva||0004|BLANK SEGMENTADO PARA ESTATOR||Lelis||Valdir de Barros Cecilio||PX044||0012||||
Dados	7	|Patricia Gomes||0003|ESTAMPO UNICO PARA ESTATOR||||Jailson Cubines||PX009||||||
